Title,Price,Page,Image
"Ninebot Electric KickScooter for Kids Ages 6-14, 6.2 Mile Range & 8.7 MPH (10MPH/11.2MPH), 130W/150W/180W Motor - E-Scooters for Teens 12 Years and Up, Boys and Girls, with New Cruise Mode",Null,www.amazon.com/Segway-eKickScooter-Lightweight-Certified-Skateboard/dp/B0C2V1ZBP8/ref=sr_1_126?crid=1UDILHFFBU3HS&amp;keywords=electric+scooter&amp;qid=1690661136&amp;sprefix=s%2Caps%2C6431&amp;sr=8-126,https://m.media-amazon.com/images/I/4100FsYcJNL._AC_UL320_.jpg
"Electric Scooter Pedal Sandpaper,Silicone Mat Replacement Scooter Foot Pad Pedal Non-Slip Silicone Mat Compatible with Ninebot Max G30 Kick Scooter",$19.94,www.amazon.com/Electric-Sandpaper-Silicone-Replacement-Compatible/dp/B0BKL9FRW3/ref=sr_1_127?crid=1UDILHFFBU3HS&amp;keywords=electric+scooter&amp;qid=1690661136&amp;sprefix=s%2Caps%2C6431&amp;sr=8-127,https://m.media-amazon.com/images/I/51PZiKjeLaL._AC_UL320_.jpg
"VBESTLIFE Electric Scooter Folding Clamp, Aluminum Alloy Vertical Rod Rugged Lock for 8X 10X 11X Scooter Series",$34.59,www.amazon.com/Vbestlife-Electric-Scooter-Aluminum-Vertical/dp/B09G5RSR9N/ref=sr_1_128?crid=1UDILHFFBU3HS&amp;keywords=electric+scooter&amp;qid=1690661136&amp;sprefix=s%2Caps%2C6431&amp;sr=8-128,https://m.media-amazon.com/images/I/61GqX+NnpUL._AC_UL320_.jpg
"Mg Teen/Adult Kick Scooter - 800+lb Capacity - Life Long Backing - QuickClick Latch Folding Mechanism - Front & Rear Brake",$329.00,www.amazon.com/XOOTR-Teen-Adult-Kick-Scooter/dp/B07N7GP4DS/ref=sr_1_129?crid=1UDILHFFBU3HS&amp;keywords=electric+scooter&amp;qid=1690661136&amp;sprefix=s%2Caps%2C6431&amp;sr=8-129,https://m.media-amazon.com/images/I/31fdpV82LvL._AC_UL320_.jpg
"SUNGOOYUE Electric Scooter Silicone Cable Rubber Plug, 3Pcs Hole Plug Scooter Accessories Replacement for Ninebot MAX G30",$5.76,www.amazon.com/SUNGOOYUE-Electric-Silicone-Accessories-Replacement/dp/B09NL1G24C/ref=sr_1_130?crid=1UDILHFFBU3HS&amp;keywords=electric+scooter&amp;qid=1690661136&amp;sprefix=s%2Caps%2C6431&amp;sr=8-130,https://m.media-amazon.com/images/I/51DA3NtUGZL._AC_UL320_.jpg
"Pulse Performance Products DX1 Freestyle Dirt Scooter, Black/White",$136.75,www.amazon.com/Pulse-Performance-Products-Freestyle-Scooter/dp/B012NOUMLW/ref=sr_1_131?crid=1UDILHFFBU3HS&amp;keywords=electric+scooter&amp;qid=1690661136&amp;sprefix=s%2Caps%2C6431&amp;sr=8-131,https://m.media-amazon.com/images/I/71yg2m5DH8L._AC_UL320_.jpg
"Rise Youth and Adult Freestyle Stunt Scooter, High Impact 110mm Wheels, Bike-Style Grips, Lightweight Alloy Deck, Multiple Colors",$85.00,www.amazon.com/Mongoose-Lightweight-Full-Coverage-Bike-Style-Handlebars/dp/B07NC5NPHH/ref=sr_1_132?crid=1UDILHFFBU3HS&amp;keywords=electric+scooter&amp;qid=1690661136&amp;sprefix=s%2Caps%2C6431&amp;sr=8-132,https://m.media-amazon.com/images/I/51lShv-LvLL._AC_UL320_.jpg
"4 Pieces Sports Scooter Board Bulk Sitting Scooter Board with Handles Plastic Casters Sport Flat Scooter for Kids Children Gym Indoor Outdoor Activities Play Equipment",$59.99,www.amazon.com/Scooter-Sitting-Children-Activities-Equipment/dp/B0BPSDQGHB/ref=sr_1_133?crid=1UDILHFFBU3HS&amp;keywords=electric+scooter&amp;qid=1690661136&amp;sprefix=s%2Caps%2C6431&amp;sr=8-133,https://m.media-amazon.com/images/I/61aFS43tpuL._AC_UL320_.jpg
"Scooter for Kids Ages 3-5 - Extra Wide Deck & Foot Activated Brake, 3 Wheel Self Balancing Kids Toys for Boys & Girls",$59.99,www.amazon.com/Dimensions-Unicorn-Self-Balancing-Anti-Slip-Lightweight/dp/B0B3SC2H3Z/ref=sr_1_134?crid=1UDILHFFBU3HS&amp;keywords=electric+scooter&amp;qid=1690661136&amp;sprefix=s%2Caps%2C6431&amp;sr=8-134,https://m.media-amazon.com/images/I/51fQkPyRvlL._AC_UL320_.jpg
"YBang Front Wheel Hub Brake Cover for Segway Ninebot Max G30/G30 II/G30LE Integrated Brake Pad Electric Scooter Spare Parts Accessory",$17.99,www.amazon.com/Ninebot-Integrated-Electric-Scooter-Accessory/dp/B09X61ZF79/ref=sr_1_135?crid=1UDILHFFBU3HS&amp;keywords=electric+scooter&amp;qid=1690661136&amp;sprefix=s%2Caps%2C6431&amp;sr=8-135,https://m.media-amazon.com/images/I/71HxzN+skTL._AC_UL320_.jpg
